BaseSKU;Name;Series;Type;Inner_L;Inner_W;Inner_H;Outer_L;Outer_W;Outer_H;Niche_L;Niche_W;Niche_H;CenterDist;Vlaga;Voltage;PackCount;WorkingTemp;Material;FireResistance;CoverMaterial;D_t;d_t;B_t;H_t;Config_ID;Inner_is_dia;Outer_is_dia;Niche_is_dia;d1_t;d2_t;h_t;B1;B2;b1;b2;b3;b4;h1;h2;b_t;InletCount;MaxPipeDiam;MaxCableDiam;B3;B4;B5;B6;H_tech;h_tech;M_H;Note
КУ1101;Коробка установочная КУ1101;series11;Сплошные стены;64;;40;;;;48;;42;71;IP20;400В;288;-25...+60;Полипропилен;650 С;;69;64;83;42;1;;;;;;;;;;;;;;;;;;;;;;;;;;
КУ1102;Коробка установочная КУ1102;series11;Сплошные стены;64;;60;;;;68;;62;71;IP20;400В;192;-25...+60;Полипропилен;650 С;;69;64;83;62;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;
КУ1103;Коробка установочная КУ1103;series11;Сплошные стены;60;;40;;;;64;;42;71;IP20;400В;378;-25...+60;Полипропилен;650 С;;65;60;82;42;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;
КУ1104;Коробка установочная КУ1104;series11;Сплошные стены;60;;60;;;;64;;62;71;IP20;400В;216;-25...+60;Полипропилен;650 С;;65;60;82;62;1;1;0;1;;;;;;;;;;;;;;;;;;;;;;;
КУ1105;Коробка установочная КУ1105;series11;Сплошные стены;60;;38;;;;64;;40;71;IP20;400В;378;-25...+60;Полипропилен;650 С;;66;;;;2;1;0;1;64;60;40;;;;;;;;;;;;;;;;;;;;
КУ1106;Коробка установочная КУ1106;series11;Сплошные стены;64;;38;;;;68;;40;71;IP20;400В;336;-25...+60;Полипропилен;650 С;;70;;;;2;1;0;1;68;64;40;;;;;;;;;;;;;;;;;;;;
КР1101;Коробка разветвительная КР1101;series11;Сплошные стены;90;90;49,5;;;;102;102;50;71;IP20;400В;91;-25...+60;Полипропилен;650 С;;;;;52;3;0;0;0;;;;118;118;102;89;102;89;40;50;;;;;;;;;;;;
КР1102;Коробка разветвительная КР1102;series11;Сплошные стены;112;92;58,5;;;;120;100;60;71;IP20;400В;60;-25...+60;Полипропилен;650 С;;;;;62;3;0;0;0;;;;138;118;120;108;100;88;50;60;;;;;;;;;;;;
КР1103;Коробка разветвительная КР1103;series11;Сплошные стены;149;119;68,5;;;;160;130;70;71;IP20;400В;36;-25...+60;Полипропилен;650 С;;;;;72;3;0;0;0;;;;179;149;160;146;130;116;60;70;;;;;;;;;;;;
КР1104;Коробка разветвительная КР1104;series11;Сплошные стены;188;148;68,5;;;;200;160;70;71;IP20;400В;24;-25...+60;Полипропилен;650 С;;;;;72;3;0;0;0;;;;219;179;200;186;160;146;60;70;;;;;;;;;;;;
КР1105;Коробка разветвительная КР1105;series11;Сплошные стены;97;;38,5;;;;104;;40;71;IP20;400В;126;-25...+60;Полипропилен;650 С;;116;104;42;;4;1;0;1;;;;;;;;;;;;31;;;;;;;;;;;
У191;Коробка разветвительная У191;series11;Сплошные стены;93;;13;;;;96;;14;71;IP20;400В;60;-25...+60;Полипропилен;650 С;;106;100;20;;4;1;0;1;;;;;;;;;;;;15;;;;;;;;;;;
У192;Коробка разветвительная У192;series11;Сплошные стены;93;;28;;;;96;;30;71;IP20;400В;192;-25...+60;Полипропилен;650 С;;106;100;35;;4;1;0;1;;;;;;;;;;;;30;;;;;;;;;;;
У194;Коробка разветвительная У194;series11;Сплошные стены;68;;13;;;;70;;14;71;IP20;400В;100;-25...+60;Полипропилен;650 С;;80;74;20;;4;1;0;1;;;;;;;;;;;;13;;;;;;;;;;;
У195;Коробка разветвительная У195;series11;Сплошные стены;68;;28;;;;70;;30;71;IP20;400В;324;-25...+60;Полипропилен;650 С;;80;74;35;;4;1;0;1;;;;;;;;;;;;30;;;;;;;;;;;
КУ1201;Коробка установочная КУ1201;series12;Полые стены и перегородки;64;;44;;;;68;;45;71;IP20;400В;288;-25...+60;Полипропилен с антипиреном;850 С;;81;;;45;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КУ1202;Коробка установочная КУ1202;series12;Полые стены и перегородки;65;;44;;;;68;;45;71;IP20;400В;288;-25...+60;Полипропилен с антипиреном;850 С;;74;;;45;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КУ1203;Коробка установочная КУ1203;series12;Полые стены и перегородки;65;;39;;;;68;;40;71;IP20;400В;336;-25...+60;Полипропилен с антипиреном;850 С;;81;;;40;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КУ1204;Коробка установочная КУ1204;series12;Полые стены и перегородки;65;;39;;;;68;;40;71;IP20;400В;336;-25...+60;Полипропилен с антипиреном;850 С;;74;;;40;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КУ1205;Коробка установочная КУ1205;series12;Полые стены и перегородки;65;;59;;;;68;;60;71;IP20;400В;240;-25...+60;Полипропилен с антипиреном;850 С;;74;;;60;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КУ1206;Коробка установочная КУ1206;series12;Полые стены и перегородки;64;;44;;;;68;;45;71;IP20;400В;288;-25...+60;Полипропилен с антипиреном;850 С;;81;;;45;5;1;0;1;65;68;;;;;;;;;;;;;;;;;;;;;
КР1201;Коробка разветвительная КР1201;series12;Полые стены и перегородки;;;;113;113;45;106;106;45;71;IP20;400В;100;-25...+60;Полипропилен с антипиреном;850 С;;;;;47;6;0;0;0;;;45;129;129;107;107;;;;;;;;;;;;;;;;
КР1202;Коробка разветвительная КР1202;series12;Полые стены и перегородки;;;;86;;45;80;;45;71;IP20;400В;180;-25...+60;Полипропилен с антипиреном;850 С;;96;;;46,5;6;0;1;1;;;44;;;80;77;;;;;;;;;;;;;;;;
КР1203;Коробка разветвительная КР1203;series12;Полые стены и перегородки;;;;126;106;50;120;100;50;71;IP20;400В;81;-25...+60;Полипропилен с антипиреном;850 С;;;;;52;6;0;0;0;;;50;142;122;120;100;;;;;;;;;;;;;;;;
КР1204;Коробка разветвительная КР1204;series12;Полые стены и перегородки;;;;166;146;70;160;140;70;71;IP20;400В;32;-25...+60;Полипропилен с антипиреном;850 С;;;;;72;6;0;0;0;;;70;182;162;160;140;;;;;;;;;;;;;;;;
КР1205;Коробка разветвительная КР1205;series12;Полые стены и перегородки;;;;206;166;70;200;160;70;71;IP20;400В;24;-25...+60;Полипропилен с антипиреном;850 С;;;;;72;6;0;0;0;;;70;222;182;200;160;;;;;;;;;;;;;;;;
КУ1301;Коробка установочная КУ1301;series13;Для монолитного строительства;70;;66,5;;;;;;;71;IP20;400В;160;-25...+60;Полипропилен;650 С;;;;;;7;1;0;0;;;;;;;;;;;;;4;20,25;;;;;;;;72;
КР1301;Коробка разветвительная КР1301;series13;Для монолитного строительства;118;76;58;;;;;;;71;IP20;400В;72;-25...+60;Полипропилен;650 С;;;;;;7;0;0;0;;;;;;;;;;;;;8;20,25;;;;;;;;64;
КР2501;Коробка разветвительная КР2501;series25;Открытой установки;81;38;30;;;;;;;71;IP20;400В;112;-25...+60;Полипропилен и ПВД;650 С;;;;;35;8;0;0;0;;;31;83;42;76;38;;;;;;10;;15;95;47;106;88;;;;
